Input Name,Best Match,Match Score,Is Match,Match Category
Amkodor Holding,"AUNG, Hlaing Bwar",50.0,False,Weak Match
Minsk Tractor Works,"WANG, Mingshan",42.42424242424242,False,Weak Match
Belneftkhim,"LOTFI, Benham",41.666666666666664,False,Weak Match
Emirates Blue Sky,"ESSID, Sami Ben Khemais",44.99999999999999,False,Weak Match
Bremino Group,"ANBARAN, Armin Ghorsi",47.05882352941176,False,Weak Match
Air Bagan,"BITAR, Bayan",57.14285714285714,False,Weak Match
MEC Marble Mine,"HOAYEK, Marianne",51.61290322580645,False,Weak Match
MEC Marble Tiles Factory,"MUSENE, Wilson Masalu",44.44444444444444,False,Weak Match
MEC Burma Cable Wire Factory,"FRANCISCO, Maricel Factura",40.74074074074075,False,Weak Match
MEC Oxygen and Gases Factory,"JONES, Sally-Anne Frances",41.509433962264154,False,Weak Match
MEC Ship Breaking Service,"MANDEL, Andrei Sergeevich",56.00000000000001,False,Weak Match
MEC Steel Mills (Hmaw Bi,"BEN DAHA, Mahri Sidi Amar",40.816326530612244,False,Weak Match
MICB,M-IABU,60.0,False,Partial Match
Myaing Galay (Rhino Brand) Cement Factory,"FRANCISCO, Maricel Factura",38.80597014925373,False,Weak Match
Myanma Economic Bank,"KEOT, Dipankar Mohan",44.99999999999999,False,Weak Match
Bandoola Transportation Co. Ltd.,"GIGEL, Tatyana Anatolyevna",41.379310344827594,False,Weak Match
Myanma Foreign Trade Bank,"ALJARBA, Tarad Mohammad",45.833333333333336,False,Weak Match
Burma Ar (Power) Construction Services,"KNYRIK, Konstantin Sergeyevich",44.11764705882353,False,Weak Match
Burma Brewery Ltd.,"VILLA, Frederic Pierre",40.0,False,Weak Match
Burma Daewoo International,"RODNINA, Irina Konstantinovna",43.63636363636364,False,Weak Match
Burma Nouveau Steel Co. Ltd.,"NOOSHIN, Seyed Mirahmad",39.21568627450981,False,Weak Match
Burma Posco Steel Co. Ltd.,"MALDONADO LOPEZ, Fatima del Rocio",40.67796610169492,False,Weak Match
Berger Paint Manufacturing Co. Ltd.,"CLANCY, Bernard Patrick",41.379310344827594,False,Weak Match
Burma Segal International Ltd.,"BUBNOVA, Irina Sergeyevna",43.63636363636364,False,Weak Match
Myawaddy Travel Services,"ROTENBERG, Pavel Arkadyevich",46.15384615384615,False,Weak Match
National Development Corp.,"BUECHEL, Pascal Dominik",40.816326530612244,False,Weak Match
Nawaday Hotel and Travel Services,"ZAVALNY, Pavel Nikolaevich",44.067796610169495,False,Weak Match
